"GIS_NAME","UNIQUEID","Neighborhood_HD","desig_date","Expanded","Expanded_date","Expanded_again","Expaned_again_date"
"Anacostia Historic District","D_024","1","1978","1","2021","0",""
"Armed Forces Retirement Home-Washington Historic District","D_045","0","","","","",""
"Blagden Alley/Naylor Court","D_018","1","1990","0","","0",""
"Bloomingdale Historic District","D_078","1","2018","0","","0",""
"Capitol Hill Historic District","D_023","1","1973","1","1976","0",""
"Chesapeake and Ohio Canal National Historical Park","D_002","0","","","","",""
"Cleveland Park Historic District","D_022","1","1987","0","","0",""
"Colony Hill Historic District","D_082","1","2021","0","","0",""
"Downtown Historic District","D_021","1","2001","0","","0",""
"Dumbarton Oaks Park (Res 637)","D_062","0","","","","",""
"Dupont Circle Historic District","D_040","1","1976","1","1984","1","2005"
"East and West Potomac Parks Historic District","D_028","0","","","","",""
"Emerald Street Historic District","D_076","1","2017","0","","0",""
"Federal Triangle Historic District","D_001","0","","","","",""
"Financial Historic District","D_017","1","1988","1","2016","0",""
"Foggy Bottom Historic District","D_020","1","1987","0","","0",""
"Ford's Theatre National Historic Site","D_015","0","","","","",""
"Fort Circle Parks Historic District","D_067","0","","","","",""
"Fort McNair (The Old Arsenal)","D_034","0","","","","",""
"Foxhall Village Historic District","D_041","1","2007","0","","0",""
"Gallaudet College Historic District","D_014","0","","","","",""
"George Washington University /Old West End Historic District","D_070","1","2014","0","","0",""
"Georgetown Historic District","D_035","1","1967","0","","0",""
"Georgetown Visitation Convent and Preparatory School","D_058","0","","","","",""
"Glover-Archbold Park (Res 450 & 351)","D_063","0","","","","",""
"Grant Circle Historic District","D_071","1","2015","0","","0",""
"Grant Road Historic District","D_030","1","2002","0","","0",""
"Greater Fourteenth Street Historic District","D_037","1","1994","1","2007","0",""
"Greater U Street Historic District","D_039","1","1998","0","","0",""
"Greystone Enclave","D_064","0","","","","",""
"Immaculata Seminary Historic District","D_066","0","","","","",""
"Kalorama Triangle Historic District","D_013","1","1987","0","","0",""
"Kingman Park Historic District","D_077","1","2018","0","","0",""
"Lafayette Square Historic District","D_012","1","1970","0","","0",""
"Langston Golf Course Historic District","D_081","0","","","","",""
"LeDroit Park Historic District","D_011","1","1974","0","","0",""
"Logan Circle Historic District","D_010","1","1972","0","","0",""
"Marine Barracks Historic District","D_025","0","","","","",""
"Marjorie Webster Historic District","D_065","0","","","","",""
"Massachusetts Avenue Historic District","D_009","1","1973","0","","0",""
"McMillan Park Reservoir Historic District","D_008","0","","","","",""
"Meridian Hill Historic District","D_068","1","2014","0","","0",""
"Montrose Park (Res 324)","D_061","0","","","","",""
"Mount Pleasant Historic District","D_007","1","1986","0","","0",""
"Mount Vernon Memorial Highway Historic District","D_079","0","","","","",""
"Mount Vernon Seminary for Girls Historic District","D_075","0","","","","",""
"Mount Vernon Square Historic District","D_042","1","1999","0","","0",""
"Mount Vernon Triangle Historic District","D_032","1","2006","0","","0",""
"National Arboretum","D_056","0","","","","",""
"National Mall","D_043","0","","","","",""
"National Zoological Park","D_031","0","","","","",""
"Observatory Hill Historic District","D_074","0","","","","",""
"Pennsylvania Avenue National Historic Site","D_006","1","1996","0","","0",""
"Potomac Gorge, The  (Potomac Palisades)","D_059","0","","","","",""
"Rock Creek & Potomac Parkway (Res 360)","D_060","0","","","","",""
"Rock Creek Park Historic District","D_016","0","","","","",""
"Saint Elizabeths Hospital Historic District","D_029","0","","","","",""
"Seventeenth Street Historic District","D_019","0","","","","",""
"Shaw Historic District","D_005","1","1999","0","","0",""
"Sheridan-Kalorama Historic District","D_004","1","1989","0","","0",""
"Sixteenth Street Historic District","D_038","1","1978","1","2007","0",""
"Soldier's Home National Historic Site","D_044","0","","","","",""
"Strivers' Section Historic District","D_036","1","1985","0","","0",""
"Takoma Park Historic District","D_027","1","1983","0","","0",""
"Theodore Roosevelt Island National Memorial (Analostan Island)","D_057","0","","","","",""
"Union Market Historic District","D_073","1","2016","0","","0",""
"Walter Reed Army Medical Center Historic District","D_069","0","","","","",""
"Washington Heights Historic District","D_033","1","2006","0","","0",""
"Washington Monument and Grounds Historic District","D_080","0","","","","",""
"Washington National Cathedral and Close Historic District","D_003","0","","","","",""
"Washington Navy Yard Historic District","D_046","0","","","","",""
"Woodley Park Historic District","D_026","1","1990","0","","0",""
"Young, Brown, Phelps and Spingarn Educational Campus Historic District","D_072","0","","","","",""